state,x,y
Adana,-14,-102
Adıyaman,118,-77
Afyonkarahisar,-261,-9
Ağrı,358,39
Aksaray,-98,-39
Amasya,-5,110
Ankara,-141,64
Antalya,-236,-121
Ardahan,341,135
Artvin,293,136
Aydın,-377,-75
Bakıkesir,-385,39
Bartın,-159,170
Batman,270,-39
Bayburt,216,82
Bilecik,-276,75
Bingöl,237,8
Bitlis,313,-30
Bolu,-198,100
Burdur,-274,-91
Bursa,-328,71
Çanakkale,-439,62
Çankırı,-120,112
Çorum,-51,91
Denizli,-313,-68
Diyarbakır,204,-54
Düzce,-216,123
Edirne,-437,139
Elazığ,167,-19
Erzincan,159,48
Erzurum,264,70
Eskişehir,-235,42
Gaziantep,71,-112
Giresun,130,105
Gümüşhane,165,83
Hakkari,394,-85
Hatay,32,-154
Iğdır,405,59
Isparta,-240,-62
Istanbul,-321,134
Izmir,-401,-47
Kahramanmaraş,39,-62
Karabük,-152,142
Karaman,-135,-114
Kars,352,92
Kastamonu,-106,163
Kayseri,4,-19
Kilis,72,-131
Kırıkkale,-86,60
Kırklareli,-395,169
Kırşehir,-84,27
Kocaeli,-284,116
Konya,-163,-55
Kütahya,-302,25
Malatya,104,-23
Manisa,-377,-12
Mardin,241,-101
Mersin,-89,-146
Muğla,-354,-122
Muş,295,1
Nevşehir,-55,-10
Niğde,-51,-55
Ordu,84,121
Osmaniye,28,-105
Rize,258,124
Sakarya,-261,108
Samsun,24,141
Şanlıurfa,144,-108
Siirt,304,-63
Sinop,-40,170
Şırnak,323,-92
Sivas,66,38
Tekirdağ,-401,133
Tokat,37,86
Trabzon,198,114
Tunceli,171,18
Uşak,-313,-22
Van,377,-35
Yalova,-315,103
Yozgat,-25,42
Zonguldak,-201,154
